benefit_type,element_name,amount,frequency,source,reference_url,notes
universal_credit,work_allowance_higher_no_housing,684.00,monthly,GOV.UK,https://www.gov.uk/government/publications/benefit-and-pension-rates-2025-to-2026/benefit-and-pension-rates-2025-to-2026,Higher work allowance (no housing amount)
universal_credit,work_allowance_lower_with_housing,411.00,monthly,GOV.UK,https://www.gov.uk/government/publications/benefit-and-pension-rates-2025-to-2026/benefit-and-pension-rates-2025-to-2026,Lower work allowance (with housing costs)
universal_credit,taper_rate,55,percentage,GOV.UK,https://www.gov.uk/universal-credit/what-youll-get,Earnings taper rate - 55p reduction for every £1 earned above work allowance
universal_credit,savings_threshold_lower,6000.00,amount,GOV.UK,https://www.gov.uk/government/publications/benefit-and-pension-rates-2025-to-2026/benefit-and-pension-rates-2025-to-2026,Amount disregarded - no effect on UC
universal_credit,savings_threshold_upper,16000.00,amount,GOV.UK,https://www.gov.uk/government/publications/benefit-and-pension-rates-2025-to-2026/benefit-and-pension-rates-2025-to-2026,Upper limit - no UC entitlement above this
universal_credit,savings_tariff_income,4.35,amount,GOV.UK,https://www.gov.uk/government/publications/benefit-and-pension-rates-2025-to-2026/benefit-and-pension-rates-2025-to-2026,Assumed income for every £250 or part thereof between £6k-£16k
universal_credit,housing_element_non_dependant_deduction,93.02,monthly,GOV.UK,https://www.gov.uk/government/publications/benefit-and-pension-rates-2025-to-2026/benefit-and-pension-rates-2025-to-2026,Non-dependants' housing cost contributions
child_benefit,first_child_weekly,26.05,weekly,GOV.UK,https://www.gov.uk/government/news/child-benefit-boost-for-millions-of-families,Enhanced rate for first or only child from April 2025
child_benefit,additional_children_weekly,17.25,weekly,GOV.UK,https://www.gov.uk/government/news/child-benefit-boost-for-millions-of-families,Rate for each additional child from April 2025
child_benefit,first_child_monthly,112.88,monthly,GOV.UK,https://www.gov.uk/government/news/child-benefit-boost-for-millions-of-families,Enhanced rate converted to monthly (26.05 * 52 / 12)
child_benefit,additional_children_monthly,74.75,monthly,GOV.UK,https://www.gov.uk/government/news/child-benefit-boost-for-millions-of-families,Additional child rate converted to monthly (17.25 * 52 / 12)
child_benefit,high_income_charge_threshold_start,60000.00,annual,GOV.UK,https://www.gov.uk/child-benefit-tax-charge,HICBC starts at £60k annual income
child_benefit,high_income_charge_threshold_end,80000.00,annual,GOV.UK,https://www.gov.uk/child-benefit-tax-charge,HICBC fully claws back benefit at £80k annual income
benefit_cap,couple_with_children_outside_london,22020.00,annual,GOV.UK,https://www.gov.uk/government/publications/benefit-and-pension-rates-2025-to-2026/benefit-and-pension-rates-2025-to-2026,Annual benefit cap for couples with children outside Greater London
benefit_cap,couple_with_children_london,25323.00,annual,GOV.UK,https://www.gov.uk/government/publications/benefit-and-pension-rates-2025-to-2026/benefit-and-pension-rates-2025-to-2026,Annual benefit cap for couples with children in Greater London
benefit_cap,single_with_children_outside_london,22020.00,annual,GOV.UK,https://www.gov.uk/government/publications/benefit-and-pension-rates-2025-to-2026/benefit-and-pension-rates-2025-to-2026,Annual benefit cap for single parents outside Greater London
benefit_cap,single_with_children_london,25323.00,annual,GOV.UK,https://www.gov.uk/government/publications/benefit-and-pension-rates-2025-to-2026/benefit-and-pension-rates-2025-to-2026,Annual benefit cap for single parents in Greater London
benefit_cap,single_no_children_outside_london,14753.00,annual,GOV.UK,https://www.gov.uk/government/publications/benefit-and-pension-rates-2025-to-2026/benefit-and-pension-rates-2025-to-2026,Annual benefit cap for single adults without children outside Greater London
benefit_cap,single_no_children_london,16967.00,annual,GOV.UK,https://www.gov.uk/government/publications/benefit-and-pension-rates-2025-to-2026/benefit-and-pension-rates-2025-to-2026,Annual benefit cap for single adults without children in Greater London
